day,truss_index,allowed_status_min,allowed_status_max,expected_status_note,visible_fruit_min,visible_fruit_max,max_fruit_diameter_mm_min,max_fruit_diameter_mm_max
10,1,not_visible,not_visible,not visible,0,0,0,0
20,1,visible_bud,visible_bud,first truss may become visible,0,0,0,0
30,1,visible_bud,flowering,bud to early flowering,0,0,0,0
40,1,fruit_set,small_green,tiny fruit may begin,0,2,3,8
50,1,small_green,small_green,visible small green fruit,3,5,10,18
60,1,green_expanding,green_expanding,expanding green fruit,4,6,22,32
70,1,green_expanding,green_expanding,large green fruit,4,6,35,45
80,1,green_expanding,breaker,late green or breaker,4,6,45,55
90,1,breaker,red,turning to red,4,6,50,65
100,1,red,harvest_ready,harvest possible,4,6,55,70
30,2,not_visible,not_visible,second truss should usually not be active,0,0,0,0
40,2,visible_bud,visible_bud,second truss visible bud,0,0,0,0
50,2,flowering,fruit_set,flowering to fruit set,0,2,3,8
60,2,small_green,small_green,second truss small fruit,3,5,10,18
70,2,green_expanding,green_expanding,expanding green fruit,4,6,22,32
80,2,green_expanding,green_expanding,large green fruit,4,6,35,45
90,2,green_expanding,breaker,late green or breaker,4,6,45,55
100,2,breaker,red,turning to red,4,6,50,65
